"Kelowna
211 Bernard Ave, KELOWNA, BC",Actual / Theoretical Cost Report Product Detail,01/17/2024 19:27
Product Number,Product Name,Theoretical,,Actual,,Variance,,Approx. Units,Inv. Unit,Logged Waste
,,Value,%,Value,%,Value,%,,,Value
P1424,TEQUILA DON JULIO 1942,"1,820.36",0.12,"4,400.55",0.30,"-2,580.19",-0.17,-11.00,0.75 LT,0.00
R2743,BAR PREP PREMIX JUICE LIME FRESH SQUEEZED,"17,799.63",1.20,"20,228.15",1.37,"-2,428.52",-0.16,-177.00,QT,0.00
P1423,TEQUILA DON JULIO BLANCO,"4,661.98",0.32,"6,584.06",0.45,"-1,922.08",-0.13,-29.00,0.75 LT,0.00
R8360,BAR PREP PORTION 1L SANGRIA ROSE WATERMELON,320.15,0.02,"1,947.69",0.13,"-1,627.54",-0.11,-192.00,PORTION,7.84
P1426,TEQUILA JOSE CUERVO TRADICIONAL  SILVER,"21,523.84",1.45,"23,133.28",1.56,"-1,609.44",-0.11,-54.00,0.75 LT,142.91
P1186,JUICE CLAMATO,"2,186.63",0.15,"3,769.13",0.25,"-1,582.50",-0.11,-679.00,L,0.00
P1303,RED BULL CAN SUGAR FREE,"1,009.43",0.07,"2,563.27",0.17,"-1,553.84",-0.11,-191.00,EA/CAN,0.00
P1465,VODKA SMIRNOFF RED LABEL (WELL),"21,522.41",1.45,"22,612.20",1.53,"-1,089.79",-0.07,-38.00,1.14 LT,27.58
,Lemon and Lime,0.00,0.00,"1,062.00",0.07,"-1,062.00",-0.07,,,
,limes,0.00,0.00,953.00,0.06,-953.00,-0.06,,,
P2560,RYE FIREBALL,137.16,0.01,"1,083.34",0.07,-946.18,-0.06,-43.00,0.75 LT,0.75
P2947,RED BULL WATERMELON CAN,766.99,0.05,"1,680.22",0.11,-913.23,-0.06,-114.00,EA/CAN,0.00
R6173,BAR PREP PORTION 1L SANGRIA WHITE W/ FRUIT & ALC,551.93,0.04,"1,432.18",0.10,-880.25,-0.06,-162.00,PORTION,0.00
P1017,BAR FOOD - TABASCO RED,2.52,0.00,829.99,0.06,-827.47,-0.06,-28.00,L,0.00
P2179,SYRUP BEV COCONUT,304.83,0.02,"1,092.15",0.07,-787.32,-0.05,-81.00,L,0.00
P2787,TEQUILA CASAMIGOS BLANCO,"1,145.81",0.08,"1,903.06",0.13,-757.25,-0.05,-12.00,0.75 LT,0.00
P1124,CREAM WHIP AEROSOL,141.58,0.01,872.67,0.06,-731.09,-0.05,-51.00,KG,0.00
P2820,SODA COKE BTL,642.07,0.04,"1,371.25",0.09,-729.18,-0.05,-337.00,L,0.00
P1110,COFFEE REGULAR GROUND FAIR TRADE ORGANIC,"1,952.82",0.13,"2,676.01",0.18,-723.19,-0.05,-96.00,LB,0.00
P2552,RUM AVUA CACHACA PRATA SILVER,18.13,0.00,689.70,0.05,-671.57,-0.05,-16.00,0.75 LT,0.00
P1363,SODA BIB SYRUP ICED TEA,"1,004.70",0.07,"1,667.30",0.11,-662.60,-0.04,-164.00,L,0.00
R6174,BAR PREP PORTION 1L SANGRIA WINTER SPICE W/ FRUIT AND ALC,72.37,0.00,723.64,0.05,-651.27,-0.04,-85.00,PORTION,0.72
R6171,BAR PREP PORTION 1L SANGRIA RED BERRY W FRUIT & ALC,275.30,0.02,908.79,0.06,-633.49,-0.04,-97.00,PORTION,6.00
P1183,WHISKEY IRISH JAMESON,"3,046.55",0.21,"3,671.93",0.25,-625.38,-0.04,-15.00,1.14 LT,109.32
P2190,OLIVE VODKATINI VERMOUTH SOAKED,472.06,0.03,"1,080.75",0.07,-608.69,-0.04,-43.00,L,0.00
,lemon lime,0.00,0.00,580.00,0.04,-580.00,-0.04,,,
P2028,SYRUP BEV WATERMELON,"4,220.04",0.29,"4,788.24",0.32,-568.20,-0.04,-33.00,L,0.00
P2744,"OAT ORIGINAL, DRINK, UNSWEETENED",9.72,0.00,560.40,0.04,-550.68,-0.04,-180.00,L,0.00
,Lemons and Limes,0.00,0.00,550.00,0.04,-550.00,-0.04,,,
P1360,SODA BIB SYRUP COCA COLA,"1,292.58",0.09,"1,805.40",0.12,-512.82,-0.03,-158.00,L,0.00
P1163,GIN TANQUERAY (WELL),"3,235.98",0.22,"3,747.62",0.25,-511.64,-0.03,-16.00,1.14 LT,5.65
R13689,BAR PREP PREMIX SLUSH STRAWBERRY KIWI DAIQUIRI BASE,0.00,0.00,502.95,0.03,-502.95,-0.03,-49.00,L,0.00
,Lemons and limes,0.00,0.00,500.00,0.03,-500.00,-0.03,,,
,lemon/lime,0.00,0.00,480.00,0.03,-480.00,-0.03,,,
R2763,BAR PREP PREMIX JUICE LEMON FRESH SQUEEZED (ALL),"3,497.83",0.24,"3,975.49",0.27,-477.66,-0.03,-46.00,QT,0.00
P1117,CORDIAL STRAWBERRY,890.55,0.06,"1,339.61",0.09,-449.06,-0.03,-30.00,L,0.00
P1207,LIQUEUR BAILEYS,838.78,0.06,"1,267.06",0.09,-428.28,-0.03,-14.00,1.14 LT,3.27
P3225,"LIQUEUR, LONG ISLAND ICED TEA MIX",0.00,0.00,423.62,0.03,-423.62,-0.03,-20.00,1.14 LT,0.00
P1109,COFFEE DECAF GROUND,99.39,0.01,516.10,0.03,-416.71,-0.03,-53.00,LB,0.00
,Lemons and Limes swap,0.00,0.00,411.36,0.03,-411.36,-0.03,,,
P2192,BAR FOOD - PINEAPPLE DEHYDRATED FAN,221.35,0.01,629.08,0.04,-407.73,-0.03,"-2,109.00",EA,0.00
R12462,BAR PREP BATCH MARGARITA PASSION FRUIT CHILI BASE,"4,155.79",0.28,"4,558.25",0.31,-402.46,-0.03,-373.00,FL OZ,0.00
R6101,BAR PREP BATCH COCKTAIL SHAFT,"9,061.31",0.61,"9,459.12",0.64,-397.81,-0.03,"-1,230.00",FL OZ,25.55
P2201,JUICE PINEAPPLE 100PCT CAN,426.81,0.03,823.93,0.06,-397.12,-0.03,-114.00,L,0.00
R6217,BAR PREP PREMIX SLUSH MARG FRESH W/O BOOZE,416.54,0.03,800.24,0.05,-383.70,-0.03,-112.00,QT,0.00
P1302,RED BULL CAN,"2,118.48",0.14,"2,491.06",0.17,-372.58,-0.03,-46.00,EA/CAN,0.00
P2177,PICKLE DILL SPEAR W/GARLIC 375-425CT,"1,532.39",0.10,"1,898.97",0.13,-366.58,-0.02,-118.00,L,0.00
P2558,RYE CANADIAN CLUB - PREMIUM,2.26,0.00,357.43,0.02,-355.17,-0.02,-19.00,0.75 LT,4.50
R6115,BAR PREP BATCH MARGARITA COCONUT MINT BASE,"3,525.90",0.24,"3,871.47",0.26,-345.57,-0.02,-492.00,FL OZ,0.00
P2824,SODA SPRITE BTL,117.39,0.01,439.79,0.03,-322.40,-0.02,-147.00,L,0.00
P1361,SODA BIB SYRUP COKE DIET,705.61,0.05,"1,019.08",0.07,-313.47,-0.02,-97.00,L,0.00
P1099,CHERRIES MORELLO,523.25,0.04,826.56,0.06,-303.31,-0.02,-11.00,LT,0.00
P1503,WINE BOX DOMAIN DOR WHITE,"2,263.47",0.15,"2,560.15",0.17,-296.68,-0.02,-51.00,L,0.00
P2561,RYE SEAGRAMS V O,"1,597.43",0.11,"1,887.95",0.13,-290.52,-0.02,-11.00,1.14 LT,0.00
P5781,BAR FOOD DEHYDRATED GRAPEFRUIT WHEELS,156.35,0.01,442.25,0.03,-285.90,-0.02,"-1,987.00",EACH,0.00
P2176,SODA BIB ROOT BEER,196.55,0.01,482.44,0.03,-285.89,-0.02,-89.00,L,0.00
P2570,VERMOUTH MARTINI EXTRA DRY,28.36,0.00,307.55,0.02,-279.19,-0.02,-28.00,1 LT,0.00
P2175,SYRUP BEV YUZU CUSTOM,915.87,0.06,"1,188.90",0.08,-273.03,-0.02,-10.00,L,0.00
P5776,BLACKBERRIES FROZEN,214.68,0.01,469.84,0.03,-255.16,-0.02,-18.00,KG,0.00
,Lemons and Limes Trade,0.00,0.00,247.00,0.02,-247.00,-0.02,,,
R6105,BAR PREP BATCH COLD BREW COFFEE BLACK,797.52,0.05,"1,043.95",0.07,-246.43,-0.02,-70.00,LTR,0.00
P2180,SYRUP BEV WHITE PEACH CORDIAL,248.89,0.02,492.19,0.03,-243.30,-0.02,-26.00,L,0.00
R6127,BAR PREP BATCH PREMIX CAESAR RIM,397.66,0.03,640.74,0.04,-243.08,-0.02,-16.00,QT,0.00
P1159,GIN EMPRESS,252.76,0.02,491.61,0.03,-238.85,-0.02,-6.00,0.75 LT,7.11
