"Kelowna
211 Bernard Ave, KELOWNA, BC",Actual / Theoretical Cost Report Product Detail,01/17/2024 19:27
Product Number,Product Name,Theoretical,,Actual,,Variance,,Approx. Units,Inv. Unit,Logged Waste
,,Value,%,Value,%,Value,%,,,Value
P2643,WINE BTL SCARPETTA FRICO PINOT GRIGIO,118.75,0.03,"5,791.28",1.42,"-5,672.53",-1.39,-440.00,750mL BTL,9.69
P1553,WINE BTL QUAILS GATE CHENIN BLANC,"1,623.58",0.40,"6,642.28",1.63,"-5,018.70",-1.23,-295.00,750mL BTL,0.00
P1554,WINE BTL QUAILS GATE PINOT NOIR,"3,924.51",0.96,"6,018.56",1.48,"-2,094.05",-0.51,-116.00,750mL BTL,0.00
P1555,WINE BTL RASCAL WHITE FAMILLE PERRIN,176.89,0.04,"1,811.68",0.44,"-1,634.79",-0.40,-201.00,750mL BTL,0.00
P2603,WINE BTL RASCAL RED FAMILLE PERRIN,257.89,0.06,"1,693.49",0.42,"-1,435.60",-0.35,-177.00,750mL BTL,5.29
P1563,WINE BTL ROMBAUER CARNEROS CHARDONNAY,491.22,0.12,"1,809.42",0.44,"-1,318.20",-0.32,-23.00,750mL BTL,0.00
P2594,WINE BTL LOUIS MARTINI SONOMA CABERNET SAUVIGNON,"3,323.12",0.81,"4,367.98",1.07,"-1,044.86",-0.26,-52.00,750mL BTL,0.00
P1486,WINE BTL BURROWING OWL MERLOT,"7,218.70",1.77,"8,039.13",1.97,-820.43,-0.20,-38.00,750mL BTL,0.00
P3222,WINE BTL SANTA CRISTINA TOSCANA,"4,413.77",1.08,"5,156.05",1.26,-742.28,-0.18,-43.00,750mL BTL,0.00
P3229,WINE BTL THE HATCH B YANCO PINOT BLANC BLEND,"5,072.90",1.24,"5,804.52",1.42,-731.62,-0.18,-49.00,750mL BTL,0.00
P1580,WINE BTL VILLA MARCHESI PROSECCO,"14,520.87",3.56,"15,187.84",3.72,-666.97,-0.16,-49.00,750mL BTL,9.87
P2612,WINE KEG PAPPAGALLO SUPER TUSCAN SANGIOVESE BLEND,"1,036.88",0.25,"1,679.63",0.41,-642.75,-0.16,-4.00,KEG 9L,46.09
P3012,WINE BTL SUNDOWNER CHARDONNAY,0.00,0.00,634.56,0.16,-634.56,-0.16,-48.00,750mL BTL,0.00
P1521,WINE KEG LA VIEILLE FERME ROSE,"1,860.05",0.46,"2,371.81",0.58,-511.76,-0.13,-6.00,KEG 9L,6.23
P2670,WINE BTL VILLA MARCHESI PROSECCO ROSE,"2,889.73",0.71,"3,389.45",0.83,-499.72,-0.12,-42.00,750mL BTL,10.91
P3226,WINE BTL LA STELLA FORTISSIMO MERLOT BLEND,336.77,0.08,793.58,0.19,-456.81,-0.11,-17.00,750mL BTL,0.00
P2636,WINE BTL THE BEACH BY WHISPERING ANGEL ROSE,979.97,0.24,"1,382.16",0.34,-402.19,-0.10,-17.00,750mL BTL,22.95
P1526,WINE KEG SEVEN TERRACES SAUVIGNON BLANC,"2,948.70",0.72,"3,337.42",0.82,-388.72,-0.10,-3.00,KEG 9L,0.00
P3234,WINE BTL HARPERS TRAIL RIESLING,17.29,0.00,363.09,0.09,-345.80,-0.08,-20.00,750mL BTL,17.29
P2640,WINE BTL HUBERT BROCHARD CLASSIC SANCERRE,576.18,0.14,896.28,0.22,-320.10,-0.08,-10.00,750mL BTL,0.00
P3233,WINE BTL TANTALUS BEAR CHARDONNAY,779.19,0.19,"1,058.79",0.26,-279.60,-0.07,-14.00,750mL BTL,0.00
P2586,WINE BTL FONTANAFREDDA BAROLO,469.89,0.12,692.61,0.17,-222.72,-0.05,-8.00,750mL BTL,0.00
P2584,WINE BTL ALPHA BOX & DICE TAROT GRENACHE,0.00,0.00,220.30,0.05,-220.30,-0.05,-10.00,750mL BTL,0.00
P1581,WINE BTL VILLA MARIA SAUVIGNON BLANC PRIVATE BIN,0.00,0.00,198.75,0.05,-198.75,-0.05,-15.00,750mL BTL,0.00
P3236,WINE BTL CHECKMATE FOOL'S MATE CHARDONNAY,258.76,0.06,452.82,0.11,-194.06,-0.05,-3.00,750mL BTL,0.00
P3367,WINE BTL CEDAR CREEK PINOT GRIS,393.85,0.10,583.97,0.14,-190.12,-0.05,-9.00,750mL BTL,0.00
P2591,WINE BTL BURROWING OWL SAUVIGNON BLANC,"1,972.98",0.48,"2,162.95",0.53,-189.97,-0.05,-10.00,750mL BTL,0.00
P6109,WINE CAN KITSCH PIQUETTE ROSE,112.27,0.03,288.54,0.07,-176.27,-0.04,-44.00,250ML CAN,0.00
P5461,WINE BTL MAISON NO 9 PROVENCE ROSE,"4,441.29",1.09,"4,611.38",1.13,-170.09,-0.04,-7.00,750mL BTL,0.00
P2649,WINE BTL SUMMERHILL CIPES BRUT,"2,735.57",0.67,"2,889.82",0.71,-154.25,-0.04,-7.00,750mL BTL,0.00
P5783,WINE BTL SYNCROMESH RIESLING,"2,011.27",0.49,"2,152.80",0.53,-141.53,-0.03,-8.00,750mL BTL,4.97
P3231,WINE BTL KITSCH WINES PINOT GRIS,"6,035.58",1.48,"6,166.58",1.51,-131.00,-0.03,-7.00,750mL BTL,6.21
P2632,WINE BTL CAMBRIA JULIAS VINEYARD PINOT NOIR,313.20,0.08,441.71,0.11,-128.51,-0.03,-4.00,750mL BTL,0.00
P1579,WINE BTL VEUVE CLIQUOT,673.89,0.17,800.98,0.20,-127.09,-0.03,-2.00,750mL BTL,0.00
P1529,WINE BTL LA CREMA PINOT NOIR,0.00,0.00,126.06,0.03,-126.06,-0.03,-6.00,750mL BTL,0.00
P1484,WINE BTL BREAD & BUTTER CHARDONNAY,"1,823.11",0.45,"1,935.01",0.47,-111.90,-0.03,-6.00,750mL BTL,0.00
P1571,WINE KEG COMO LOCO TEMPRANILLO,715.13,0.18,808.83,0.20,-93.70,-0.02,-1.00,KEG 9L,0.00
P1508,WINE BTL PERRIN COUDOULET DE BAUCASTEL COTES DU RHONE,0.00,0.00,88.20,0.02,-88.20,-0.02,-6.00,750mL BTL,0.00
P2668,WINE BTL MURPHY GOODE CABERNET SAUVIGNON,"5,576.43",1.37,"5,664.43",1.39,-88.00,-0.02,-5.00,750mL BTL,0.00
P1541,WINE BTL MEYER OKANAGAN VALLEY PINOT NOIR,796.21,0.20,882.37,0.22,-86.16,-0.02,-4.00,750mL BTL,0.00
P2616,WINE BTL LE VIEUX PIN CUVEE VIOLETTE SYRAH,"1,273.08",0.31,"1,355.84",0.33,-82.76,-0.02,-3.00,750mL BTL,26.99
P6108,WINE CAN JOIE FARM TINY BUBBLES,67.10,0.02,147.62,0.04,-80.52,-0.02,-12.00,250ML CAN,0.00
P2665,WINE BTL JOIE FARM NOBLE BLEND,195.10,0.05,273.14,0.07,-78.04,-0.02,-4.00,750mL BTL,58.53
P2671,WINE BTL KING ESTATE WILLAMETTE VALLEY PINOT GRIS,171.42,0.04,244.85,0.06,-73.43,-0.02,-3.00,750mL BTL,0.00
P2667,WINE BTL LOST POET CABERNET BLEND,0.00,0.00,68.64,0.02,-68.64,-0.02,-4.00,750mL BTL,0.00
P2625,WINE BTL NICHOL VINEYARD PINOT GRIS,"1,096.10",0.27,"1,164.10",0.29,-68.00,-0.02,-4.00,750mL BTL,0.00
P5785,WINE BTL FRANCIS COPPOLA DIAMOND CABERNET SAUVIGNON,580.70,0.14,646.80,0.16,-66.10,-0.02,-3.00,750mL BTL,0.00
P2593,WINE BTL BENMARCO CABERNET SAUVIGNON,0.00,0.00,57.09,0.01,-57.09,-0.01,-3.00,750mL BTL,0.00
P2620,WINE BTL CATENA MALBEC,362.19,0.09,419.17,0.10,-56.98,-0.01,-3.00,750mL BTL,0.00
P2638,WINE BTL ROAD 13 SYRAH,712.17,0.17,764.11,0.19,-51.94,-0.01,-2.00,750mL BTL,0.00
P1576,WINE BTL TOMMASI AMARONE,0.00,0.00,47.69,0.01,-47.69,-0.01,-1.00,750mL BTL,0.00
P6274,WINE KEG IL SCOPO BARBERA RED,0.00,0.00,42.68,0.01,-42.68,-0.01,0.00,KEG 9L,0.00
P6279,WINE BTL UNSHACKLED BY THE PRISONER CABERNET SAUVIGNON,"2,014.33",0.49,"2,048.95",0.50,-34.62,-0.01,-1.00,750mL BTL,0.00
P3228,WINE BTL BLUE MOUNTAIN PINOT BLANC,4.34,0.00,37.37,0.01,-33.03,-0.01,-3.00,750mL BTL,0.00
